State,Action,QValue
12218,2,-1
12218,6,-1
12218,7,-1
12220,0,-1
12220,2,-1
12220,6,-1
12220,8,-1
12226,0,-1
12226,2,-1
12226,7,-1
12226,8,-1
12248,2,-0.999906
12248,4,-0.999866
12254,2,-1
12254,4,-1
12256,2,0
12256,4,0
12256,8,0
12266,4,-1
12278,4,-1
12282,4,-0.3
12282,5,10
12290,4,-1
12290,7,-1
12292,4,-1
12296,4,-0.999906
12296,6,-0.999866
12300,4,-1
12304,4,-0.999954
12304,8,-0.999934
12306,4,-1
12306,7,-1
12326,2,-1
12328,2,-1
12328,8,-1
12334,2,-1
12334,8,-1
12344,7,-1
12350,6,-1
12354,5,-1
12358,8,-0.51
12360,5,-0.999989
12360,7,-0.999989
12370,7,-1
12376,6,-1
12376,8,-1
12378,7,-1
12518,0,0
12518,4,0
12518,6,0
12524,0,-1
12524,4,-1
12526,0,-0.999906
12526,4,-0.999906
12544,0,0
12544,4,0
12544,6,0
12550,0,-1
12550,4,-1
12596,0,-1
12596,6,-1
12598,0,-1
12598,6,-1
12604,0,-1
12622,0,-0.3
12622,6,0
12680,0,-0.3
12680,5,-0.3
12680,6,7
12686,0,-1
12686,3,-1
12686,5,-1
12686,7,-1
12688,0,-1
12688,3,-1
12688,5,-1
12688,8,-1
12706,0,7
12706,6,0
12706,8,0
12712,0,-1
12712,3,-1
12712,7,-1
12712,8,-1
12734,4,-0.3
12740,4,-1
12742,4,-0.999866
12742,8,-0.999866
12752,3,10
12752,4,0
12764,4,-1
12768,4,-0.999906
12768,5,-0.999866
12778,3,10
12778,4,0
12790,4,0
12790,8,0
12792,4,-0.999866
12792,7,-0.999808
12814,8,0
12820,8,-1
12830,3,-1
12830,7,-1
12832,3,-1
12836,6,-0.3
12840,5,-1
12844,8,-1
12846,5,-1
12846,7,-1
12856,3,-1
12856,7,-1
12862,6,0
12862,8,0
12920,0,-1
12920,5,-1
12920,6,-1
12920,7,-1
12922,0,-1
12922,5,-1
12922,6,-1
12922,8,-1
12928,0,-0.51
12928,5,-0.51
12928,7,7
12946,0,-0.3
12946,6,7
12946,8,0
12974,4,-1
12976,4,-0.999866
12976,8,-0.999808
12982,4,-0.3
12982,8,10
12992,4,-1
12992,7,-1
12994,4,-1
12998,4,-1
12998,6,-1
13002,4,-1
13002,5,-1
13006,4,-0.3
13006,8,10
13008,4,0
13008,5,0
13008,7,0
13018,4,-0.3
13018,7,10
13024,4,0
13024,6,0
13024,8,0
13026,4,-0.3
13026,7,10
13054,8,-0.3
13072,7,-0.51
13078,6,-1
13078,8,-1
13080,5,-1
13080,7,-1
14228,2,10
