Game,TotalReward,WinRate
365,-30,0.62
366,-17,0.62
367,2,0.62
368,-3,0.62
369,-76,0.62
370,-23,0.62
371,-48,0.62
372,-6,0.62
373,-49,0.62
374,6,0.62
375,6,0.62
376,-18,0.62
377,-66,0.62
378,-19,0.62
379,-3,0.62
380,-35,0.62
381,-68,0.62
382,-4,0.62
383,-79,0.62
384,-7,0.62
385,-53,0.62
386,3,0.62
387,-32,0.62
388,6,0.62
389,-69,0.62
390,-1,0.62
391,-26,0.62
392,-31,0.62
393,6,0.62
394,-171,0.62
395,-145,0.62
396,-10,0.62
397,-15,0.62
398,-43,0.62
399,-36,0.62
400,-3,0.62
401,-14,0.68
402,-170,0.68
403,4,0.68
404,-47,0.68
405,-45,0.68
406,-118,0.68
407,-119,0.68
408,2,0.68
409,-57,0.68
410,-20,0.68
411,-32,0.68
412,6,0.68
413,-79,0.68
414,-70,0.68
415,3,0.68
416,1,0.68
417,-3,0.68
418,6,0.68
419,-28,0.68
420,-46,0.68
421,-17,0.68
422,6,0.68
423,-33,0.68
424,6,0.68
425,-11,0.68
426,-71,0.68
427,-17,0.68
428,5,0.68
429,6,0.68
430,-49,0.68
431,-25,0.68
432,6,0.68
433,6,0.68
434,-136,0.68
435,-74,0.68
436,6,0.68
437,-320,0.68
438,-25,0.68
439,-18,0.68
440,-10,0.68
441,6,0.68
442,6,0.68
443,-27,0.68
444,-79,0.68
445,-3,0.68
446,-75,0.68
447,6,0.68
448,-26,0.68
449,3,0.68
450,-74,0.68
451,6,0.68
452,-107,0.68
453,-7,0.68
454,-82,0.68
455,-120,0.68
456,-51,0.68
457,-83,0.68
458,6,0.68
459,6,0.68
460,2,0.68
461,-132,0.68
462,-68,0.68
463,-30,0.68
464,-46,0.68
465,-29,0.68
466,-3,0.68
467,-44,0.68
468,6,0.68
469,3,0.68
470,-2,0.68
471,-28,0.68
472,-3,0.68
473,6,0.68
474,-80,0.68
475,6,0.68
476,-8,0.68
477,6,0.68
478,-38,0.68
479,2,0.68
480,-15,0.68
481,6,0.68
482,-1,0.68
483,-7,0.68
484,-3,0.68
485,6,0.68
486,-75,0.68
487,-62,0.68
488,-58,0.68
489,6,0.68
490,-13,0.68
491,1,0.68
492,-7,0.68
493,-75,0.68
494,-13,0.68
495,-27,0.68
496,-74,0.68
497,-27,0.68
498,-18,0.68
499,-26,0.68
500,6,0.68
501,3,0.74
502,-36,0.74
503,-209,0.74
504,-16,0.74
505,6,0.74
506,-30,0.74
507,6,0.74
508,6,0.74
509,-72,0.74
510,2,0.74
511,-17,0.74
512,-7,0.74
513,-37,0.74
514,6,0.74
515,-92,0.74
516,-27,0.74
517,-103,0.74
518,-7,0.74
519,6,0.74
520,4,0.74
521,-7,0.74
522,6,0.74
523,-123,0.74
524,2,0.74
525,-7,0.74
526,-18,0.74
527,6,0.74
528,6,0.74
529,-14,0.74
530,6,0.74
531,-59,0.74
532,-22,0.74
533,6,0.74
534,6,0.74
535,-23,0.74
536,6,0.74
537,5,0.74
538,-13,0.74
539,-42,0.74
540,-27,0.74
541,-37,0.74
542,-14,0.74
543,6,0.74
544,2,0.74
545,-62,0.74
546,-16,0.74
547,2,0.74
548,6,0.74
549,-12,0.74
550,-19,0.74
551,-3,0.74
552,-81,0.74
553,6,0.74
554,6,0.74
555,6,0.74
556,0,0.74
557,-46,0.74
558,6,0.74
559,-38,0.74
560,-9,0.74
561,-52,0.74
562,-10,0.74
563,6,0.74
564,-42,0.74
565,6,0.74
566,-23,0.74
567,-118,0.74
568,-62,0.74
569,-265,0.74
570,-50,0.74
571,-68,0.74
572,6,0.74
573,6,0.74
574,6,0.74
575,-36,0.74
576,-11,0.74
577,-6,0.74
578,6,0.74
579,-18,0.74
580,-45,0.74
581,-107,0.74
582,6,0.74
583,-1,0.74
584,6,0.74
585,6,0.74
586,-6,0.74
587,6,0.74
588,-9,0.74
589,-166,0.74
590,6,0.74
591,-32,0.74
592,-25,0.74
593,-32,0.74
594,6,0.74
595,-28,0.74
596,-51,0.74
597,-220,0.74
598,-41,0.74
599,6,0.74
600,2,0.74
601,1,0.67
602,6,0.67
603,4,0.67
604,-12,0.67
605,-3,0.67
606,6,0.67
607,-1,0.67
608,-44,0.67
609,-39,0.67
610,-47,0.67
611,-35,0.67
612,-10,0.67
613,-28,0.67
614,-29,0.67
615,6,0.67
616,6,0.67
617,3,0.67
618,6,0.67
619,3,0.67
620,-10,0.67
621,6,0.67
622,-2,0.67
623,-19,0.67
624,6,0.67
625,-3,0.67
626,6,0.67
627,-63,0.67
628,-33,0.67
629,6,0.67
630,-11,0.67
631,-4,0.67
632,-32,0.67
633,6,0.67
634,-21,0.67
635,-34,0.67
636,-2,0.67
637,6,0.67
638,-28,0.67
639,5,0.67
640,-29,0.67
641,-124,0.67
642,-73,0.67
643,6,0.67
644,-32,0.67
645,-11,0.67
646,6,0.67
647,6,0.67
648,-3,0.67
649,6,0.67
650,-22,0.67
651,-126,0.67
652,-21,0.67
653,-4,0.67
654,6,0.67
655,-7,0.67
656,-13,0.67
657,-43,0.67
658,-46,0.67
659,-39,0.67
660,-62,0.67
661,-49,0.67
662,1,0.67
663,-66,0.67
664,6,0.67
665,-1,0.67
666,6,0.67
667,6,0.67
668,3,0.67
669,-18,0.67
670,-152,0.67
671,-32,0.67
672,6,0.67
673,-39,0.67
674,-158,0.67
675,-7,0.67
676,-53,0.67
677,-89,0.67
678,0,0.67
679,6,0.67
680,6,0.67
681,-59,0.67
682,-7,0.67
683,-29,0.67
684,6,0.67
685,-15,0.67
686,-76,0.67
687,6,0.67
688,-80,0.67
689,6,0.67
690,-78,0.67
691,-31,0.67
692,3,0.67
693,-22,0.67
694,-9,0.67
695,-116,0.67
696,-109,0.67
697,6,0.67
698,-32,0.67
699,-34,0.67
700,-3,0.67
701,-75,0.63
702,0,0.63
703,6,0.63
704,-10,0.63
705,-47,0.63
706,3,0.63
707,-32,0.63
708,-20,0.63
709,3,0.63
710,-3,0.63
711,-14,0.63
712,-7,0.63
713,5,0.63
714,6,0.63
715,6,0.63
716,-7,0.63
717,6,0.63
718,-6,0.63
719,-3,0.63
720,6,0.63
721,-60,0.63
722,-31,0.63
723,-102,0.63
724,-28,0.63
725,-54,0.63
726,-88,0.63
727,-9,0.63
728,-4,0.63
729,-149,0.63
730,-35,0.63
731,-18,0.63
732,6,0.63
733,-27,0.63
734,-93,0.63
735,-25,0.63
736,-192,0.63
737,6,0.63
738,-61,0.63
739,-35,0.63
740,3,0.63
741,-41,0.63
742,-182,0.63
743,-32,0.63
744,-7,0.63
745,-127,0.63
746,6,0.63
747,6,0.63
748,-40,0.63
749,-2,0.63
750,4,0.63
751,-112,0.63
752,-125,0.63
753,6,0.63
754,-52,0.63
755,-12,0.63
756,-47,0.63
757,-37,0.63
758,-63,0.63
759,6,0.63
760,-94,0.63
761,-27,0.63
762,-20,0.63
763,-19,0.63
764,-40,0.63
765,3,0.63
766,-27,0.63
767,-37,0.63
768,1,0.63
769,-15,0.63
770,-74,0.63
771,-66,0.63
772,-21,0.63
773,-52,0.63
774,3,0.63
775,-20,0.63
776,-157,0.63
777,-23,0.63
778,-129,0.63
779,-30,0.63
780,-79,0.63
781,6,0.63
782,6,0.63
783,3,0.63
784,-42,0.63
785,-6,0.63
786,6,0.63
787,-9,0.63
788,0,0.63
789,6,0.63
790,6,0.63
791,-35,0.63
792,-16,0.63
793,0,0.63
794,-14,0.63
795,6,0.63
796,-65,0.63
797,-36,0.63
798,6,0.63
799,-32,0.63
800,-12,0.63
801,1,0.71
802,6,0.71
803,-5,0.71
804,-63,0.71
805,-12,0.71
806,-265,0.71
807,-3,0.71
808,-53,0.71
809,-32,0.71
810,6,0.71
811,3,0.71
812,-208,0.71
813,6,0.71
814,-97,0.71
815,6,0.71
816,0,0.71
817,-32,0.71
818,-91,0.71
819,-63,0.71
820,-28,0.71
821,2,0.71
822,-74,0.71
823,-38,0.71
824,-4,0.71
825,-54,0.71
826,-36,0.71
827,-27,0.71
828,-43,0.71
829,-80,0.71
830,-168,0.71
831,-6,0.71
832,-97,0.71
833,-16,0.71
834,-18,0.71
835,-4,0.71
836,-109,0.71
837,-38,0.71
838,-26,0.71
839,6,0.71
840,-8,0.71
841,-4,0.71
842,-72,0.71
843,-192,0.71
844,-12,0.71
845,-55,0.71
846,6,0.71
847,-4,0.71
848,6,0.71
849,-15,0.71
850,-128,0.71
851,-5,0.71
852,6,0.71
853,-86,0.71
854,-55,0.71
855,-65,0.71
856,-45,0.71
857,-48,0.71
858,-23,0.71
859,-89,0.71
860,-27,0.71
861,6,0.71
862,-10,0.71
863,-13,0.71
864,-3,0.71
865,-21,0.71
866,-70,0.71
867,-7,0.71
868,0,0.71
869,-78,0.71
870,-21,0.71
871,6,0.71
872,6,0.71
873,-54,0.71
874,6,0.71
875,-10,0.71
876,6,0.71
877,-77,0.71
878,-61,0.71
879,6,0.71
880,-13,0.71
881,6,0.71
882,-6,0.71
883,-22,0.71
884,-38,0.71
885,-24,0.71
886,0,0.71
887,-44,0.71
888,-19,0.71
889,-97,0.71
890,-7,0.71
891,-80,0.71
892,-44,0.71
893,-48,0.71
894,-65,0.71
895,-76,0.71
896,3,0.71
897,-39,0.71
898,-17,0.71
899,-7,0.71
900,-96,0.71
901,6,0.67
902,3,0.67
903,-48,0.67
904,-94,0.67
905,-25,0.67
906,-44,0.67
907,-3,0.67
908,-26,0.67
909,-412,0.67
910,-14,0.67
911,-5,0.67
912,-60,0.67
913,-62,0.67
914,-108,0.67
915,-106,0.67
916,-171,0.67
917,-62,0.67
918,-34,0.67
919,-42,0.67
920,-45,0.67
921,-82,0.67
922,-79,0.67
923,-104,0.67
924,-208,0.67
925,-48,0.67
926,-20,0.67
927,6,0.67
928,6,0.67
929,-13,0.67
930,-128,0.67
931,-11,0.67
932,-6,0.67
933,6,0.67
934,-61,0.67
935,-7,0.67
936,-8,0.67
937,6,0.67
938,-52,0.67
939,-3,0.67
940,-89,0.67
941,6,0.67
942,-30,0.67
943,-66,0.67
944,-17,0.67
945,-146,0.67
946,6,0.67
947,-3,0.67
948,-58,0.67
949,-36,0.67
950,6,0.67
951,-67,0.67
952,-14,0.67
953,-23,0.67
954,-20,0.67
955,6,0.67
956,-42,0.67
957,-1,0.67
958,6,0.67
959,-6,0.67
960,-90,0.67
961,-56,0.67
962,-24,0.67
963,-143,0.67
964,-51,0.67
965,-9,0.67
966,3,0.67
967,-28,0.67
968,6,0.67
969,5,0.67
970,-12,0.67
971,-20,0.67
972,-34,0.67
973,-22,0.67
974,-11,0.67
975,3,0.67
976,-21,0.67
977,-30,0.67
978,-53,0.67
979,-165,0.67
980,-129,0.67
981,-41,0.67
982,6,0.67
983,6,0.67
984,-32,0.67
985,-11,0.67
986,-55,0.67
987,6,0.67
988,-107,0.67
989,-141,0.67
990,-14,0.67
991,-46,0.67
992,-2,0.67
993,-6,0.67
994,-102,0.67
995,-3,0.67
996,0,0.67
997,6,0.67
998,-5,0.67
999,6,0.67
1000,-5,0.67
1001,-117,0.62
1002,-37,0.62
1003,-121,0.62
1004,-47,0.62
1005,6,0.62
1006,-50,0.62
1007,-102,0.62
1008,6,0.62
1009,-3,0.62
1010,-7,0.62
1011,-6,0.62
1012,-38,0.62
1013,-127,0.62
1014,-56,0.62
1015,-6,0.62
1016,-1,0.62
1017,-3,0.62
1018,-3,0.62
1019,-71,0.62
1020,-147,0.62
1021,-16,0.62
1022,-95,0.62
1023,-66,0.62
1024,-18,0.62
1025,-9,0.62
1026,-145,0.62
1027,-99,0.62
1028,-17,0.62
1029,-2,0.62
1030,-18,0.62
1031,-83,0.62
1032,-34,0.62
1033,-64,0.62
1034,6,0.62
1035,-6,0.62
1036,-120,0.62
1037,-100,0.62
1038,-7,0.62
1039,6,0.62
1040,-19,0.62
1041,6,0.62
1042,-46,0.62
1043,-30,0.62
1044,5,0.62
1045,-36,0.62
1046,6,0.62
1047,-20,0.62
1048,-18,0.62
1049,-13,0.62
1050,6,0.62
1051,-51,0.62
1052,3,0.62
1053,-6,0.62
1054,-130,0.62
1055,3,0.62
1056,-16,0.62
1057,-4,0.62
1058,-68,0.62
1059,3,0.62
1060,0,0.62
1061,6,0.62
1062,1,0.62
1063,-50,0.62
1064,-13,0.62
1065,-180,0.62
1066,6,0.62
1067,2,0.62
1068,-32,0.62
1069,-7,0.62
1070,6,0.62
1071,-15,0.62
1072,-59,0.62
1073,-9,0.62
1074,-25,0.62
1075,-14,0.62
1076,-3,0.62
1077,-12,0.62
1078,-41,0.62
1079,6,0.62
1080,-46,0.62
1081,6,0.62
1082,-10,0.62
1083,-133,0.62
1084,-11,0.62
1085,-20,0.62
1086,-39,0.62
1087,-38,0.62
1088,-124,0.62
1089,-123,0.62
